199,0.083,6,-0.7819,-11,-0.2131,30,0.7022,43,-0.9804,110,2.8503,-0.000621,-0.000297
207,0.083,6,-0.8255,4,-0.2179,15,0.8023,43,-0.9975,110,3.2758,-0.000722,-0.000362
216,0.083,6,-0.8657,4,-0.2223,45,0.9087,28,-1.0001,110,3.7277,-0.000831,-0.000435
224,0.083,6,-0.9023,-11,-0.2265,15,1.0226,43,-0.9898,110,4.2049,-0.000948,-0.000516
232,0.082,6,-0.9356,4,-0.2318,30,1.1423,43,-0.9656,125,4.7081,-0.001075,-0.000606
240,0.082,6,-0.9655,4,-0.2367,30,1.2677,43,-0.9265,110,5.2376,-0.001210,-0.000704
248,0.082,6,-0.9922,4,-0.24,45,1.4012,43,-0.8731,110,5.7914,-0.001352,-0.000810
257,0.082,6,-1.0158,4,-0.2417,30,1.5439,58,-0.8044,110,6.3671,-0.001500,-0.000923
265,0.082,6,-1.0363,4,-0.2419,30,1.6941,73,-0.7168,110,6.9641,-0.001657,-0.001044
273,0.082,6,-1.0537,4,-0.2406,30,1.8503,58,-0.6083,110,7.5816,-0.001822,-0.001174
281,0.082,6,-1.0682,4,-0.2378,30,2.0123,58,-0.4807,125,8.2201,-0.001996,-0.001311
289,0.082,6,-1.0799,4,-0.2337,30,2.1798,43,-0.3372,110,8.8802,-0.002177,-0.001457
297,0.081,6,-1.0888,4,-0.2281,30,2.3528,43,-0.181,110,9.5598,-0.002365,-0.001610
306,0.082,21,-1.0936,34,-0.2186,30,2.5308,28,-0.015,110,10.2568,-0.002556,-0.001771
314,0.082,21,-1.0918,19,-0.2012,30,2.7139,43,0.1591,125,10.9717,-0.002749,-0.001938
322,0.082,21,-1.0824,4,-0.1776,30,2.9017,43,0.3423,140,11.7079,-0.002945,-0.002112
331,0.083,6,-1.0667,4,-0.1518,135,3.1033,43,0.5357,125,12.4672,-0.003144,-0.002291
339,0.082,6,-1.0477,4,-0.1252,30,3.3275,43,0.7389,95,13.2447,-0.003343,-0.002475
348,0.083,21,-1.0253,4,-0.0979,45,3.5657,43,0.9516,140,14.037,-0.003544,-0.002664
356,0.083,21,-0.9971,4,-0.0699,30,3.8095,43,1.1735,125,14.8474,-0.003749,-0.002857
364,0.083,21,-0.962,19,-0.0398,30,4.0575,43,1.4042,140,15.6779,-0.003958,-0.003053
372,0.083,21,-0.92,4,-0.0065,30,4.308,28,1.6422,140,16.5288,-0.004171,-0.003252
380,0.083,6,-0.8728,4,0.0287,30,4.5609,58,1.8871,140,17.4007,-0.004389,-0.003455
389,0.083,6,-0.8231,34,0.067,30,4.8162,43,2.1413,155,18.2941,-0.004614,-0.003661
398,0.084,6,-0.7723,109,0.1201,30,5.0736,58,2.4058,170,19.2119,-0.004843,-0.003870
406,0.084,6,-0.7205,19,0.1956,30,5.3329,43,2.6802,155,20.1559,-0.005075,-0.004083
414,0.083,6,-0.6676,4,0.2823,30,5.5941,43,2.9629,140,21.1224,-0.005311,-0.004300
422,0.083,6,-0.6138,4,0.3693,30,5.857,58,3.2535,155,22.1079,-0.005554,-0.004521
431,0.083,6,-0.5591,19,0.4567,30,6.1214,58,3.5544,140,23.1115,-0.005805,-0.004747
439,0.083,6,-0.5036,19,0.5469,45,6.3886,58,3.8666,170,24.1337,-0.006062,-0.004978
447,0.083,6,-0.4472,4,0.6399,30,6.6597,58,4.1895,155,25.1763,-0.006326,-0.005215
455,0.083,6,-0.39,4,0.733,30,6.9331,73,4.5241,155,26.2383,-0.006597,-0.005458
463,0.083,21,-0.3308,4,0.8248,30,7.2075,58,4.8713,155,27.3176,-0.006877,-0.005706
473,0.084,6,-0.2683,109,0.9245,45,7.484,43,5.2281,155,28.4134,-0.007160,-0.005961
481,0.083,6,-0.2039,4,1.0411,30,7.7637,73,5.5927,140,29.5234,-0.007443,-0.006221
489,0.083,21,-0.1377,4,1.1649,45,8.0465,73,5.9687,125,30.6431,-0.007728,-0.006486
497,0.083,21,-0.0671,19,1.2877,15,8.3309,58,6.3571,140,31.769,-0.008017,-0.006757
505,0.083,21,0.009,19,1.4122,45,8.6154,73,6.756,140,32.902,-0.008309,-0.007032
514,0.083,6,0.0891,-11,1.537,30,8.9013,58,7.165,155,34.0441,-0.008605,-0.007312
522,0.083,21,0.1719,4,1.6581,30,9.1884,88,7.5851,170,35.1987,-0.008907,-0.007597
531,0.084,21,0.2585,-11,1.7741,30,9.4752,58,8.0171,170,36.3689,-0.009218,-0.007886
539,0.084,6,0.3487,4,1.8852,30,9.7617,58,8.458,155,37.5539,-0.009535,-0.008180
547,0.084,6,0.4399,4,1.9929,30,10.0477,58,8.9046,140,38.7489,-0.009859,-0.008478
