millis, dt(10),fsr1,fsr1_calibrated,fsr2,fsr2_calibrated,fsr3,fsr3_calibrated,fsr4,fsr4_calibrated,fsr5,fsr5_calibrated,pos,vel,vel_filtered(exp=0.9),acc,acc_filtered(exp=0.9)
60469,0.097,-21,-7.9443,-18,-1.0438,0,0.612,-9,-7.2116,-11,-7.2559,1.9715,-0.0515,-0.0464,-0.4782,-0.4304
60479,0.097,-6,-7.9566,-3,-1.0404,15,0.6176,-24,-7.2087,-11,-7.2432,1.9715,0.0,-0.0046,0.0,-0.043
60488,0.096,-6,-7.9693,-63,-1.0443,0,0.6255,6,-7.2077,-11,-7.2322,1.9715,0.0,-0.0005,0.0,-0.0043
60498,0.097,-6,-7.9809,12,-1.0581,0,0.6343,-9,-7.2061,4,-7.2215,1.9715,0.0,-0.0,0.0,-0.0004
60508,0.097,-6,-7.9916,-18,-1.0761,0,0.6427,-9,-7.2039,-11,-7.2098,1.9715,0.0,-0.0,0.0,-0.0
60517,0.096,-6,-8.0012,-3,-1.0956,0,0.6505,-9,-7.2023,-11,-7.1984,1.9715,0.0,-0.0,0.0,-0.0
60527,0.097,9,-8.0086,-3,-1.1166,0,0.658,-9,-7.2014,-11,-7.1886,1.9715,-0.0515,-0.0464,-0.9615,-0.8654
60536,0.096,-6,-8.0125,-123,-1.1483,105,0.6742,-9,-7.2012,-11,-7.1805,1.9715,0.0,-0.0046,0.0,-0.0865
60547,0.098,9,-8.0129,12,-1.1995,-15,0.7069,-9,-7.2016,4,-7.1725,1.9715,0.0,-0.0005,0.0,-0.0087
60556,0.096,-6,-8.0099,-18,-1.2592,0,0.7451,6,-7.2013,4,-7.1622,1.9715,0.0,-0.0,0.0,-0.0009
60566,0.097,-21,-8.0064,12,-1.318,0,0.7807,-9,-7.199,-11,-7.1495,1.9715,0.0,-0.0,0.4782,0.4303
60575,0.096,-6,-8.0048,12,-1.3732,0,0.8151,-9,-7.1961,-11,-7.1373,1.9715,0.0,-0.0,0.0,0.043
60585,0.097,-21,-8.0052,-3,-1.4235,0,0.8483,-9,-7.1939,-11,-7.1266,1.9715,0.0,-0.0,0.0,0.0043
